country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
DO,Dominican Republic,0,0,2020-02-15,0.0,6.0,1.0,-2.0,-1.0,1.0
DO,Dominican Republic,0,0,2020-02-16,-18.0,-9.0,-12.0,-13.0,-9.0,3.0
DO,Dominican Republic,0,0,2020-02-17,0.0,4.0,-2.0,-8.0,-2.0,1.0
DO,Dominican Republic,0,0,2020-02-18,-1.0,0.0,-3.0,4.0,3.0,-1.0
DO,Dominican Republic,0,0,2020-02-19,-4.0,-2.0,3.0,0.0,1.0,1.0
DO,Dominican Republic,0,0,2020-02-20,0.0,-2.0,6.0,0.0,1.0,1.0
DO,Dominican Republic,0,0,2020-02-21,-2.0,-2.0,7.0,1.0,1.0,0.0
DO,Dominican Republic,0,0,2020-02-22,0.0,-1.0,3.0,0.0,2.0,0.0
DO,Dominican Republic,0,0,2020-02-23,-6.0,-7.0,-6.0,-3.0,-4.0,1.0
DO,Dominican Republic,0,0,2020-02-24,0.0,1.0,-1.0,1.0,4.0,0.0
DO,Dominican Republic,0,0,2020-02-25,0.0,0.0,2.0,2.0,4.0,0.0
DO,Dominican Republic,0,0,2020-02-26,1.0,0.0,0.0,0.0,1.0,0.0
DO,Dominican Republic,0,0,2020-02-27,-16.0,-10.0,48.0,-22.0,-55.0,14.0
DO,Dominican Republic,0,0,2020-02-28,0.0,4.0,0.0,2.0,-3.0,1.0
DO,Dominican Republic,0,0,2020-02-29,5.0,9.0,6.0,6.0,3.0,-1.0
DO,Dominican Republic,0,0,2020-03-01,-5.0,1.0,-10.0,-2.0,-5.0,1.0
DO,Dominican Republic,0,0,2020-03-02,0.0,5.0,-9.0,4.0,3.0,1.0
DO,Dominican Republic,0,0,2020-03-03,0.0,5.0,-4.0,2.0,2.0,0.0
DO,Dominican Republic,0,0,2020-03-04,-1.0,3.0,1.0,0.0,2.0,0.0
DO,Dominican Republic,0,0,2020-03-05,1.0,1.0,1.0,2.0,2.0,0.0
DO,Dominican Republic,0,0,2020-03-06,-1.0,0.0,1.0,0.0,2.0,0.0
DO,Dominican Republic,0,0,2020-03-07,2.0,1.0,4.0,3.0,3.0,0.0
DO,Dominican Republic,0,0,2020-03-08,-11.0,-8.0,-16.0,-8.0,-5.0,2.0
DO,Dominican Republic,0,0,2020-03-09,-6.0,-3.0,-13.0,-5.0,2.0,2.0
DO,Dominican Republic,0,0,2020-03-10,-3.0,-1.0,-6.0,1.0,3.0,0.0
DO,Dominican Republic,0,0,2020-03-11,-5.0,-2.0,-2.0,-4.0,1.0,1.0
DO,Dominican Republic,0,0,2020-03-12,-4.0,0.0,-6.0,-5.0,0.0,1.0
DO,Dominican Republic,0,0,2020-03-13,-3.0,12.0,-5.0,-9.0,-10.0,3.0
DO,Dominican Republic,0,0,2020-03-14,-7.0,15.0,-4.0,-7.0,-1.0,2.0
DO,Dominican Republic,0,0,2020-03-15,-22.0,-4.0,-9.0,-15.0,-9.0,1.0
DO,Dominican Republic,0,0,2020-03-16,-8.0,5.0,-6.0,-18.0,-11.0,4.0
DO,Dominican Republic,0,0,2020-03-17,-14.0,12.0,-18.0,-21.0,-13.0,6.0
DO,Dominican Republic,0,0,2020-03-18,-25.0,5.0,-25.0,-27.0,-22.0,10.0
DO,Dominican Republic,0,0,2020-03-19,-53.0,-21.0,-46.0,-53.0,-46.0,20.0
DO,Dominican Republic,0,0,2020-03-20,-66.0,-35.0,-57.0,-64.0,-58.0,27.0
DO,Dominican Republic,0,0,2020-03-21,-73.0,-48.0,-65.0,-74.0,-59.0,25.0
DO,Dominican Republic,0,0,2020-03-22,-76.0,-57.0,-70.0,-78.0,-51.0,21.0
DO,Dominican Republic,0,0,2020-03-23,-68.0,-41.0,-60.0,-77.0,-68.0,30.0
DO,Dominican Republic,0,0,2020-03-24,-74.0,-50.0,-63.0,-80.0,-71.0,30.0
DO,Dominican Republic,0,0,2020-03-25,-75.0,-53.0,-63.0,-81.0,-73.0,32.0
DO,Dominican Republic,0,0,2020-03-26,-76.0,-55.0,-64.0,-83.0,-74.0,33.0
DO,Dominican Republic,0,0,2020-03-27,-78.0,-58.0,-68.0,-84.0,-75.0,35.0
DO,Dominican Republic,0,0,2020-03-28,-79.0,-60.0,-70.0,-84.0,-66.0,28.0
DO,Dominican Republic,0,0,2020-03-29,-80.0,-63.0,-73.0,-84.0,-56.0,23.0
DO,Dominican Republic,0,0,2020-03-30,-70.0,-45.0,-61.0,-80.0,-72.0,31.0
DO,Dominican Republic,0,0,2020-03-31,-74.0,-52.0,-64.0,-82.0,-73.0,31.0
DO,Dominican Republic,0,0,2020-04-01,-75.0,-55.0,-63.0,-83.0,-73.0,33.0
DO,Dominican Republic,0,0,2020-04-02,-75.0,-55.0,-64.0,-83.0,-73.0,33.0
DO,Dominican Republic,0,0,2020-04-03,-75.0,-53.0,-64.0,-83.0,-72.0,34.0
DO,Dominican Republic,0,0,2020-04-04,-77.0,-56.0,-68.0,-82.0,-63.0,27.0
DO,Dominican Republic,0,0,2020-04-05,-78.0,-60.0,-71.0,-83.0,-53.0,22.0
DO,Dominican Republic,0,0,2020-04-06,-71.0,-51.0,-62.0,-82.0,-70.0,31.0
DO,Dominican Republic,0,0,2020-04-07,-72.0,-51.0,-62.0,-81.0,-71.0,30.0
DO,Dominican Republic,0,0,2020-04-08,-72.0,-51.0,-62.0,-82.0,-71.0,31.0
DO,Dominican Republic,0,0,2020-04-09,-70.0,-46.0,-60.0,-81.0,-73.0,32.0
DO,Dominican Republic,0,0,2020-04-10,-84.0,-73.0,-69.0,-88.0,-83.0,38.0
DO,Dominican Republic,0,0,2020-04-11,-78.0,-58.0,-69.0,-85.0,-67.0,28.0
DO,Dominican Republic,0,0,2020-04-12,-78.0,-62.0,-71.0,-85.0,-54.0,22.0
DO,Dominican Republic,0,0,2020-04-13,-70.0,-51.0,-61.0,-81.0,-68.0,31.0
DO,Dominican Republic,0,0,2020-04-14,-71.0,-51.0,-61.0,-81.0,-69.0,30.0
DO,Dominican Republic,0,0,2020-04-15,-70.0,-50.0,-60.0,-81.0,-68.0,31.0
DO,Dominican Republic,0,0,2020-04-16,-69.0,-47.0,-59.0,-80.0,-69.0,32.0
DO,Dominican Republic,0,0,2020-04-17,-70.0,-47.0,-60.0,-80.0,-68.0,32.0
DO,Dominican Republic,0,0,2020-04-18,-74.0,-54.0,-66.0,-81.0,-59.0,25.0
DO,Dominican Republic,0,0,2020-04-19,-75.0,-58.0,-69.0,-82.0,-49.0,21.0
DO,Dominican Republic,0,0,2020-04-20,-68.0,-49.0,-59.0,-80.0,-66.0,29.0
DO,Dominican Republic,0,0,2020-04-21,-72.0,-54.0,-63.0,-81.0,-69.0,31.0
DO,Dominican Republic,0,0,2020-04-22,-68.0,-49.0,-59.0,-79.0,-67.0,30.0
DO,Dominican Republic,0,0,2020-04-23,-68.0,-48.0,-59.0,-80.0,-67.0,31.0
DO,Dominican Republic,0,0,2020-04-24,-69.0,-49.0,-60.0,-80.0,-66.0,31.0
DO,Dominican Republic,0,0,2020-04-25,-71.0,-52.0,-63.0,-80.0,-57.0,25.0
DO,Dominican Republic,0,0,2020-04-26,-72.0,-55.0,-66.0,-82.0,-47.0,20.0
DO,Dominican Republic,0,0,2020-04-27,-66.0,-49.0,-57.0,-79.0,-63.0,30.0
DO,Dominican Republic,0,0,2020-04-28,-66.0,-47.0,-56.0,-78.0,-64.0,26.0
DO,Dominican Republic,0,0,2020-04-29,-66.0,-47.0,-56.0,-78.0,-64.0,29.0
DO,Dominican Republic,0,0,2020-04-30,-65.0,-46.0,-57.0,-78.0,-64.0,30.0
DO,Dominican Republic,0,0,2020-05-01,-66.0,-46.0,-58.0,-78.0,-63.0,30.0
DO,Dominican Republic,0,0,2020-05-02,-67.0,-47.0,-60.0,-77.0,-53.0,23.0
DO,Dominican Republic,0,0,2020-05-03,-70.0,-50.0,-63.0,-79.0,-43.0,18.0
DO,Dominican Republic,0,0,2020-05-04,-70.0,-52.0,-58.0,-82.0,-73.0,31.0
DO,Dominican Republic,0,0,2020-05-05,-62.0,-44.0,-54.0,-74.0,-60.0,26.0
DO,Dominican Republic,0,0,2020-05-06,-63.0,-43.0,-53.0,-75.0,-61.0,28.0
DO,Dominican Republic,0,0,2020-05-07,-63.0,-42.0,-53.0,-76.0,-61.0,29.0
DO,Dominican Republic,0,0,2020-05-08,-63.0,-41.0,-54.0,-74.0,-60.0,29.0
DO,Dominican Republic,0,0,2020-05-09,-64.0,-43.0,-56.0,-75.0,-49.0,22.0
DO,Dominican Republic,0,0,2020-05-10,-67.0,-47.0,-60.0,-77.0,-40.0,18.0
DO,Dominican Republic,0,0,2020-05-11,-61.0,-42.0,-52.0,-75.0,-57.0,27.0
DO,Dominican Republic,0,0,2020-05-12,-61.0,-41.0,-52.0,-74.0,-58.0,26.0
DO,Dominican Republic,0,0,2020-05-13,-62.0,-43.0,-52.0,-75.0,-58.0,27.0
DO,Dominican Republic,0,0,2020-05-14,-63.0,-43.0,-53.0,-76.0,-59.0,27.0
DO,Dominican Republic,0,0,2020-05-15,-63.0,-41.0,-53.0,-75.0,-57.0,28.0
DO,Dominican Republic,0,0,2020-05-16,-63.0,-40.0,-53.0,-73.0,-46.0,22.0
