country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
EC,Ecuador,0,0,2020-02-15,2.0,0.0,3.0,3.0,-2.0,0.0
EC,Ecuador,0,0,2020-02-16,2.0,0.0,2.0,4.0,0.0,0.0
EC,Ecuador,0,0,2020-02-17,3.0,2.0,2.0,2.0,-4.0,1.0
EC,Ecuador,0,0,2020-02-18,4.0,2.0,3.0,2.0,-5.0,1.0
EC,Ecuador,0,0,2020-02-19,3.0,0.0,2.0,2.0,-6.0,1.0
EC,Ecuador,0,0,2020-02-20,4.0,0.0,4.0,1.0,-11.0,1.0
EC,Ecuador,0,0,2020-02-21,0.0,1.0,1.0,0.0,-13.0,2.0
EC,Ecuador,0,0,2020-02-22,-4.0,0.0,10.0,-5.0,-8.0,0.0
EC,Ecuador,0,0,2020-02-23,2.0,-2.0,23.0,-4.0,-5.0,-4.0
EC,Ecuador,0,0,2020-02-24,-15.0,-18.0,7.0,-33.0,-70.0,11.0
EC,Ecuador,0,0,2020-02-25,-24.0,-24.0,-11.0,-30.0,-70.0,11.0
EC,Ecuador,0,0,2020-02-26,-7.0,-5.0,-4.0,-2.0,-10.0,1.0
EC,Ecuador,0,0,2020-02-27,-3.0,-1.0,-4.0,-3.0,-7.0,2.0
EC,Ecuador,0,0,2020-02-28,-2.0,0.0,-5.0,-3.0,-8.0,3.0
EC,Ecuador,0,0,2020-02-29,-3.0,10.0,-6.0,-1.0,0.0,2.0
EC,Ecuador,0,0,2020-03-01,-4.0,5.0,-7.0,0.0,0.0,2.0
EC,Ecuador,0,0,2020-03-02,3.0,6.0,0.0,0.0,-6.0,2.0
EC,Ecuador,0,0,2020-03-03,3.0,5.0,3.0,1.0,-7.0,2.0
EC,Ecuador,0,0,2020-03-04,3.0,2.0,1.0,0.0,-7.0,2.0
EC,Ecuador,0,0,2020-03-05,1.0,2.0,1.0,0.0,-8.0,2.0
EC,Ecuador,0,0,2020-03-06,-1.0,1.0,-2.0,-2.0,-9.0,3.0
EC,Ecuador,0,0,2020-03-07,-2.0,1.0,-3.0,0.0,-1.0,2.0
EC,Ecuador,0,0,2020-03-08,7.0,3.0,6.0,4.0,2.0,0.0
EC,Ecuador,0,0,2020-03-09,0.0,0.0,0.0,-1.0,-10.0,3.0
EC,Ecuador,0,0,2020-03-10,0.0,2.0,1.0,0.0,-10.0,2.0
EC,Ecuador,0,0,2020-03-11,-2.0,-1.0,-2.0,-1.0,-10.0,2.0
