country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
EE,Estonia,0,0,2020-02-15,4.0,0.0,-8.0,-1.0,1.0,0.0
EE,Estonia,0,0,2020-02-16,6.0,-2.0,-17.0,-1.0,1.0,0.0
EE,Estonia,0,0,2020-02-17,4.0,-1.0,-3.0,0.0,0.0,1.0
EE,Estonia,0,0,2020-02-18,4.0,1.0,3.0,4.0,1.0,1.0
EE,Estonia,0,0,2020-02-19,5.0,1.0,15.0,4.0,1.0,0.0
EE,Estonia,0,0,2020-02-20,6.0,1.0,22.0,6.0,0.0,0.0
EE,Estonia,0,0,2020-02-21,1.0,2.0,-5.0,3.0,-1.0,1.0
EE,Estonia,0,0,2020-02-22,-7.0,-5.0,-30.0,-7.0,0.0,0.0
EE,Estonia,0,0,2020-02-23,12.0,12.0,33.0,7.0,-1.0,-2.0
EE,Estonia,0,0,2020-02-24,-22.0,-7.0,155.0,-13.0,-77.0,16.0
EE,Estonia,0,0,2020-02-25,2.0,0.0,27.0,4.0,-18.0,2.0
EE,Estonia,0,0,2020-02-26,-1.0,-4.0,8.0,2.0,-18.0,3.0
EE,Estonia,0,0,2020-02-27,0.0,-1.0,12.0,1.0,-18.0,3.0
EE,Estonia,0,0,2020-02-28,-3.0,0.0,12.0,-3.0,-19.0,4.0
EE,Estonia,0,0,2020-02-29,-6.0,1.0,15.0,0.0,0.0,0.0
EE,Estonia,0,0,2020-03-01,-2.0,0.0,-4.0,1.0,2.0,0.0
EE,Estonia,0,0,2020-03-02,1.0,2.0,13.0,2.0,0.0,1.0
EE,Estonia,0,0,2020-03-03,0.0,2.0,-3.0,0.0,1.0,0.0
EE,Estonia,0,0,2020-03-04,0.0,-1.0,-7.0,0.0,1.0,1.0
EE,Estonia,0,0,2020-03-05,6.0,6.0,3.0,4.0,1.0,0.0
EE,Estonia,0,0,2020-03-06,8.0,10.0,22.0,7.0,1.0,-1.0
EE,Estonia,0,0,2020-03-07,10.0,14.0,18.0,7.0,4.0,-1.0
EE,Estonia,0,0,2020-03-08,29.0,25.0,91.0,22.0,6.0,-4.0
EE,Estonia,0,0,2020-03-09,5.0,3.0,17.0,3.0,0.0,1.0
EE,Estonia,0,0,2020-03-10,4.0,6.0,-1.0,2.0,0.0,1.0
EE,Estonia,0,0,2020-03-11,2.0,4.0,-10.0,-2.0,-1.0,1.0
EE,Estonia,0,0,2020-03-12,1.0,19.0,-5.0,-3.0,-2.0,2.0
EE,Estonia,0,0,2020-03-13,-13.0,22.0,-11.0,-17.0,-12.0,7.0
