country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NZ,New Zealand,0,0,2020-02-15,8.0,5.0,0.0,8.0,4.0,0.0
NZ,New Zealand,0,0,2020-02-16,4.0,4.0,-11.0,7.0,0.0,1.0
NZ,New Zealand,0,0,2020-02-17,-2.0,-2.0,-5.0,15.0,31.0,-3.0
NZ,New Zealand,0,0,2020-02-18,-1.0,2.0,1.0,8.0,15.0,-1.0
NZ,New Zealand,0,0,2020-02-19,1.0,2.0,0.0,11.0,14.0,-2.0
NZ,New Zealand,0,0,2020-02-20,1.0,0.0,-3.0,11.0,18.0,-2.0
NZ,New Zealand,0,0,2020-02-21,4.0,0.0,-5.0,10.0,17.0,-2.0
NZ,New Zealand,0,0,2020-02-22,7.0,4.0,-12.0,1.0,4.0,2.0
NZ,New Zealand,0,0,2020-02-23,5.0,3.0,-10.0,2.0,1.0,1.0
NZ,New Zealand,0,0,2020-02-24,-1.0,-1.0,-1.0,18.0,32.0,-3.0
NZ,New Zealand,0,0,2020-02-25,-1.0,1.0,7.0,10.0,15.0,-1.0
NZ,New Zealand,0,0,2020-02-26,0.0,5.0,2.0,12.0,16.0,-2.0
NZ,New Zealand,0,0,2020-02-27,0.0,1.0,-6.0,12.0,19.0,-2.0
NZ,New Zealand,0,0,2020-02-28,4.0,4.0,-4.0,13.0,19.0,-2.0
NZ,New Zealand,0,0,2020-02-29,6.0,13.0,-2.0,3.0,5.0,0.0
NZ,New Zealand,0,0,2020-03-01,1.0,4.0,-1.0,8.0,1.0,1.0
NZ,New Zealand,0,0,2020-03-02,-4.0,-1.0,-10.0,16.0,34.0,-2.0
NZ,New Zealand,0,0,2020-03-03,-4.0,0.0,-6.0,8.0,17.0,-1.0
NZ,New Zealand,0,0,2020-03-04,-2.0,0.0,-17.0,9.0,16.0,-1.0
NZ,New Zealand,0,0,2020-03-05,0.0,1.0,-15.0,10.0,20.0,-1.0
NZ,New Zealand,0,0,2020-03-06,4.0,2.0,-9.0,9.0,19.0,-1.0
NZ,New Zealand,0,0,2020-03-07,7.0,4.0,2.0,3.0,6.0,1.0
NZ,New Zealand,0,0,2020-03-08,3.0,4.0,-6.0,5.0,1.0,1.0
NZ,New Zealand,0,0,2020-03-09,-6.0,-4.0,-18.0,12.0,30.0,-2.0
NZ,New Zealand,0,0,2020-03-10,-4.0,-2.0,-11.0,6.0,16.0,0.0
NZ,New Zealand,0,0,2020-03-11,-3.0,-2.0,-14.0,7.0,16.0,-1.0
NZ,New Zealand,0,0,2020-03-12,-2.0,-1.0,-15.0,7.0,19.0,-1.0
NZ,New Zealand,0,0,2020-03-13,2.0,0.0,-12.0,6.0,18.0,-1.0
NZ,New Zealand,0,0,2020-03-14,4.0,3.0,0.0,-2.0,6.0,1.0
NZ,New Zealand,0,0,2020-03-15,-1.0,6.0,-8.0,-2.0,1.0,1.0
NZ,New Zealand,0,0,2020-03-16,-7.0,5.0,-19.0,3.0,30.0,-1.0
NZ,New Zealand,0,0,2020-03-17,-9.0,10.0,-22.0,-9.0,13.0,1.0
NZ,New Zealand,0,0,2020-03-18,-8.0,13.0,-22.0,-10.0,10.0,2.0
NZ,New Zealand,0,0,2020-03-19,-10.0,22.0,-34.0,-14.0,12.0,3.0
NZ,New Zealand,0,0,2020-03-20,-13.0,12.0,-37.0,-20.0,9.0,5.0
NZ,New Zealand,0,0,2020-03-21,-17.0,6.0,-38.0,-32.0,0.0,8.0
NZ,New Zealand,0,0,2020-03-22,-25.0,-4.0,-36.0,-36.0,-8.0,8.0
NZ,New Zealand,0,0,2020-03-23,-12.0,29.0,-50.0,-34.0,6.0,6.0
NZ,New Zealand,0,0,2020-03-24,-19.0,12.0,-52.0,-51.0,-32.0,16.0
NZ,New Zealand,0,0,2020-03-25,-38.0,4.0,-52.0,-61.0,-49.0,20.0
NZ,New Zealand,0,0,2020-03-26,-92.0,-58.0,-77.0,-84.0,-74.0,35.0
NZ,New Zealand,0,0,2020-03-27,-91.0,-48.0,-80.0,-84.0,-74.0,38.0
NZ,New Zealand,0,0,2020-03-28,-92.0,-53.0,-80.0,-84.0,-63.0,26.0
